:START_ID,:END_ID,:TYPE
600007,5002146d64e919ca0d3af525a8b4083e,concept_of
600114,5002146d64e919ca0d3af525a8b4083e,concept_of
600132,5002146d64e919ca0d3af525a8b4083e,concept_of
600182,5002146d64e919ca0d3af525a8b4083e,concept_of
600595,5002146d64e919ca0d3af525a8b4083e,concept_of
600641,5002146d64e919ca0d3af525a8b4083e,concept_of
600779,5002146d64e919ca0d3af525a8b4083e,concept_of
600801,5002146d64e919ca0d3af525a8b4083e,concept_of
600819,5002146d64e919ca0d3af525a8b4083e,concept_of
000001,5002146d64e919ca0d3af525a8b4083e,concept_of
000005,5002146d64e919ca0d3af525a8b4083e,concept_of
000541,5002146d64e919ca0d3af525a8b4083e,concept_of
000608,5002146d64e919ca0d3af525a8b4083e,concept_of
000659,5002146d64e919ca0d3af525a8b4083e,concept_of
000869,5002146d64e919ca0d3af525a8b4083e,concept_of
000895,5002146d64e919ca0d3af525a8b4083e,concept_of
000932,5002146d64e919ca0d3af525a8b4083e,concept_of
000935,5002146d64e919ca0d3af525a8b4083e,concept_of
002032,5002146d64e919ca0d3af525a8b4083e,concept_of
002047,5002146d64e919ca0d3af525a8b4083e,concept_of
600023,cc1340316e41046e7ff2f54c33418694,concept_of
600089,cc1340316e41046e7ff2f54c33418694,concept_of
600202,cc1340316e41046e7ff2f54c33418694,concept_of
600226,cc1340316e41046e7ff2f54c33418694,concept_of
600269,cc1340316e41046e7ff2f54c33418694,concept_of
600292,cc1340316e41046e7ff2f54c33418694,concept_of
600307,cc1340316e41046e7ff2f54c33418694,concept_of
600328,cc1340316e41046e7ff2f54c33418694,concept_of
600416,cc1340316e41046e7ff2f54c33418694,concept_of
600483,cc1340316e41046e7ff2f54c33418694,concept_of
600516,cc1340316e41046e7ff2f54c33418694,concept_of
600550,cc1340316e41046e7ff2f54c33418694,concept_of
600558,cc1340316e41046e7ff2f54c33418694,concept_of
600622,cc1340316e41046e7ff2f54c33418694,concept_of
600642,cc1340316e41046e7ff2f54c33418694,concept_of
600848,cc1340316e41046e7ff2f54c33418694,concept_of
600875,cc1340316e41046e7ff2f54c33418694,concept_of
600973,cc1340316e41046e7ff2f54c33418694,concept_of
601106,cc1340316e41046e7ff2f54c33418694,concept_of
601179,cc1340316e41046e7ff2f54c33418694,concept_of
601369,cc1340316e41046e7ff2f54c33418694,concept_of
601611,cc1340316e41046e7ff2f54c33418694,concept_of
601727,cc1340316e41046e7ff2f54c33418694,concept_of
601877,cc1340316e41046e7ff2f54c33418694,concept_of
601985,cc1340316e41046e7ff2f54c33418694,concept_of
601991,cc1340316e41046e7ff2f54c33418694,concept_of
603100,cc1340316e41046e7ff2f54c33418694,concept_of
603169,cc1340316e41046e7ff2f54c33418694,concept_of
603308,cc1340316e41046e7ff2f54c33418694,concept_of
603699,cc1340316e41046e7ff2f54c33418694,concept_of
000777,cc1340316e41046e7ff2f54c33418694,concept_of
000825,cc1340316e41046e7ff2f54c33418694,concept_of
000881,cc1340316e41046e7ff2f54c33418694,concept_of
000883,cc1340316e41046e7ff2f54c33418694,concept_of
000899,cc1340316e41046e7ff2f54c33418694,concept_of
000922,cc1340316e41046e7ff2f54c33418694,concept_of
000967,cc1340316e41046e7ff2f54c33418694,concept_of
000969,cc1340316e41046e7ff2f54c33418694,concept_of
000993,cc1340316e41046e7ff2f54c33418694,concept_of
002011,cc1340316e41046e7ff2f54c33418694,concept_of
002058,cc1340316e41046e7ff2f54c33418694,concept_of
002130,cc1340316e41046e7ff2f54c33418694,concept_of
002149,cc1340316e41046e7ff2f54c33418694,concept_of
002167,cc1340316e41046e7ff2f54c33418694,concept_of
002212,cc1340316e41046e7ff2f54c33418694,concept_of
002227,cc1340316e41046e7ff2f54c33418694,concept_of
002248,cc1340316e41046e7ff2f54c33418694,concept_of
002255,cc1340316e41046e7ff2f54c33418694,concept_of
002266,cc1340316e41046e7ff2f54c33418694,concept_of
002276,cc1340316e41046e7ff2f54c33418694,concept_of
002318,cc1340316e41046e7ff2f54c33418694,concept_of
002364,cc1340316e41046e7ff2f54c33418694,concept_of
002366,cc1340316e41046e7ff2f54c33418694,concept_of
002438,cc1340316e41046e7ff2f54c33418694,concept_of
002478,cc1340316e41046e7ff2f54c33418694,concept_of
002534,cc1340316e41046e7ff2f54c33418694,concept_of
002564,cc1340316e41046e7ff2f54c33418694,concept_of
002665,cc1340316e41046e7ff2f54c33418694,concept_of
300004,cc1340316e41046e7ff2f54c33418694,concept_of
300084,cc1340316e41046e7ff2f54c33418694,concept_of
300092,cc1340316e41046e7ff2f54c33418694,concept_of
300153,cc1340316e41046e7ff2f54c33418694,concept_of
300185,cc1340316e41046e7ff2f54c33418694,concept_of
300411,cc1340316e41046e7ff2f54c33418694,concept_of
300489,cc1340316e41046e7ff2f54c33418694,concept_of
600209,999278e00523daeadee721f708094efe,concept_of
600515,999278e00523daeadee721f708094efe,concept_of
600759,999278e00523daeadee721f708094efe,concept_of
600896,999278e00523daeadee721f708094efe,concept_of
601118,999278e00523daeadee721f708094efe,concept_of
000099,999278e00523daeadee721f708094efe,concept_of
000505,999278e00523daeadee721f708094efe,concept_of
000566,999278e00523daeadee721f708094efe,concept_of
000567,999278e00523daeadee721f708094efe,concept_of
000613,999278e00523daeadee721f708094efe,concept_of
000691,999278e00523daeadee721f708094efe,concept_of
000735,999278e00523daeadee721f708094efe,concept_of
000886,999278e00523daeadee721f708094efe,concept_of
002320,999278e00523daeadee721f708094efe,concept_of
002596,999278e00523daeadee721f708094efe,concept_of
600071,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
600271,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
600288,0e8032dff9c1bcfdc190025e7b5fb547,concept_of
